country,year,gender,age,share_top5_pct_inc,share_top1_pct_inc,share_top0_5_pct_inc,share_top0_1_pct_inc,share_top0_01_pct_inc
Argentina,1996,All genders,25,NA,NA,NA,NA,NA
Argentina,1997,All genders,25,NA,NA,NA,NA,NA
Argentina,1998,All genders,25,NA,NA,NA,NA,NA
Argentina,1999,All genders,25,NA,NA,NA,NA,NA
Argentina,2000,All genders,25,NA,NA,NA,NA,NA
Argentina,2001,All genders,25,NA,NA,NA,NA,NA
Argentina,2002,All genders,25,NA,NA,NA,NA,NA
Argentina,2003,All genders,25,NA,NA,NA,NA,NA
Argentina,2004,All genders,25,NA,NA,NA,NA,NA
Argentina,2005,All genders,25,NA,NA,NA,NA,NA
Argentina,2006,All genders,25,NA,NA,NA,NA,NA
Argentina,2007,All genders,25,NA,NA,NA,NA,NA
Argentina,2008,All genders,25,NA,NA,NA,NA,NA
Argentina,2009,All genders,25,NA,NA,NA,NA,NA
Argentina,2010,All genders,25,NA,NA,NA,NA,NA
Argentina,2011,All genders,25,NA,NA,NA,NA,NA
Argentina,2012,All genders,25,NA,NA,NA,NA,NA
Argentina,2013,All genders,25,NA,NA,NA,NA,NA
Argentina,2014,All genders,25,NA,NA,NA,NA,NA
Argentina,2015,All genders,25,NA,NA,NA,NA,NA
Argentina,1996,Female,25,NA,NA,NA,NA,NA
Argentina,1997,Female,25,NA,NA,NA,NA,NA
Argentina,1998,Female,25,NA,NA,NA,NA,NA
Argentina,1999,Female,25,NA,NA,NA,NA,NA
Argentina,2000,Female,25,NA,NA,NA,NA,NA
Argentina,2001,Female,25,NA,NA,NA,NA,NA
Argentina,2002,Female,25,NA,NA,NA,NA,NA
Argentina,2003,Female,25,NA,NA,NA,NA,NA
Argentina,2004,Female,25,NA,NA,NA,NA,NA
Argentina,2005,Female,25,NA,NA,NA,NA,NA
Argentina,2006,Female,25,NA,NA,NA,NA,NA
Argentina,2007,Female,25,NA,NA,NA,NA,NA
Argentina,2008,Female,25,NA,NA,NA,NA,NA
Argentina,2009,Female,25,NA,NA,NA,NA,NA
Argentina,2010,Female,25,NA,NA,NA,NA,NA
Argentina,2011,Female,25,NA,NA,NA,NA,NA
Argentina,2012,Female,25,NA,NA,NA,NA,NA
Argentina,2013,Female,25,NA,NA,NA,NA,NA
Argentina,2014,Female,25,NA,NA,NA,NA,NA
Argentina,2015,Female,25,NA,NA,NA,NA,NA
Argentina,1996,Male,25,NA,NA,NA,NA,NA
Argentina,1997,Male,25,NA,NA,NA,NA,NA
Argentina,1998,Male,25,NA,NA,NA,NA,NA
Argentina,1999,Male,25,NA,NA,NA,NA,NA
Argentina,2000,Male,25,NA,NA,NA,NA,NA
Argentina,2001,Male,25,NA,NA,NA,NA,NA
Argentina,2002,Male,25,NA,NA,NA,NA,NA
Argentina,2003,Male,25,NA,NA,NA,NA,NA
Argentina,2004,Male,25,NA,NA,NA,NA,NA
Argentina,2005,Male,25,NA,NA,NA,NA,NA
Argentina,2006,Male,25,NA,NA,NA,NA,NA
Argentina,2007,Male,25,NA,NA,NA,NA,NA
Argentina,2008,Male,25,NA,NA,NA,NA,NA
Argentina,2009,Male,25,NA,NA,NA,NA,NA
Argentina,2010,Male,25,NA,NA,NA,NA,NA
Argentina,2011,Male,25,NA,NA,NA,NA,NA
Argentina,2012,Male,25,NA,NA,NA,NA,NA
Argentina,2013,Male,25,NA,NA,NA,NA,NA
Argentina,2014,Male,25,NA,NA,NA,NA,NA
Argentina,2015,Male,25,NA,NA,NA,NA,NA
Argentina,1996,All genders,25-34,22.135859,7.5234976,4.6383185,1.4876316,0.28220162
Argentina,1997,All genders,25-34,23.365467,8.3238487,5.2270246,1.745994,0.32905674
Argentina,1998,All genders,25-34,23.545162,8.4893885,5.3981733,1.8481202,0.34436408
Argentina,1999,All genders,25-34,24.113056,8.8480787,5.6908913,2.1208661,0.53329384
Argentina,2000,All genders,25-34,24.292734,8.714757,5.4880924,1.7468754,0.31196749
Argentina,2001,All genders,25-34,24.459703,8.7620506,5.4369164,1.6760454,0.26013032
Argentina,2002,All genders,25-34,25.560902,9.9527922,6.6413136,2.6696711,0.66071671
Argentina,2003,All genders,25-34,24.144014,9.5573645,6.4425769,2.6163678,0.64003223
Argentina,2004,All genders,25-34,21.80015,8.4398422,5.6499162,2.3863158,0.66868877
Argentina,2005,All genders,25-34,19.893595,7.1539493,4.607182,1.6684011,0.3264204
Argentina,2006,All genders,25-34,18.918037000000002,6.4954171,4.1358232,1.4540658,0.36158401
Argentina,2007,All genders,25-34,18.436501,6.1315174,3.8622229,1.3429021,0.30415741
Argentina,2008,All genders,25-34,18.278715,5.9594498,3.6781538,1.2227958,0.2623139
Argentina,2009,All genders,25-34,17.847866,5.6634159,3.4178627,1.0690199,0.20360686
Argentina,2010,All genders,25-34,17.698975,5.5272837,3.2473414,0.93608773,0.16236894
Argentina,2011,All genders,25-34,17.783957,5.7586632,3.4755552,1.1439192,0.39132491
Argentina,2012,All genders,25-34,16.958551,5.2391472,3.087451,0.8993355,0.18814981
Argentina,2013,All genders,25-34,17.025389,5.2676835,3.1237719,0.91667104,0.19032322
Argentina,2014,All genders,25-34,17.092072,5.3589363,3.1601055,0.92306346,0.20253199
Argentina,2015,All genders,25-34,17.376333,5.4118953,3.1655183,0.89872438,0.17125259
Argentina,1996,Female,25-34,21.312267,7.0173163,4.2423625,1.3088297,0.29858851
Argentina,1997,Female,25-34,22.370129,7.7010465,4.8145814,1.6316881,0.37750416999999997
Argentina,1998,Female,25-34,22.277241,7.5545459,4.6950316,1.513346,0.36924869
