country,field,disclosed_investment,estimated_investment
United Arab Emirates,"Mobile, platforms & Internet services",2328,2819
United Arab Emirates,Information Technology,2352,2822
United Arab Emirates,Professional services,24,234
United Arab Emirates,Software,2412,3459
United Arab Emirates,Finance,38,256
United Arab Emirates,Transportation,27,38
United Arab Emirates,All,2567,3700
United Arab Emirates,General purpose,2370,3223
United Arab Emirates,Data and analytics,2389,3433
United Arab Emirates,Other,27,31
Argentina,All,42,7262
Australia,Sports,27,51
Australia,Information Technology,953,2917
Australia,General purpose,1245,3675
Australia,Biotechnology,41,67
Australia,Other,63,293
Australia,Professional services,562,1048
Australia,Data and analytics,1265,3771
Australia,Gaming,36,37
Australia,Privacy and Security,69,97
Australia,"Mobile, platforms & Internet services",365,1046
Australia,Transportation,70,541
Australia,Real estate,75,291
Australia,Consumer goods,99,221
Australia,Media and Entertainment,62,246
Australia,All,2995,6070
Australia,Energy and natural resources,81,233
Australia,"Military, public safety and government",58,58
Australia,"Sales, retail, commerce, marketing",116,330
Australia,Software,1629,4219
Australia,Navigation and mapping,35,82
Australia,Agriculture,45,106
Australia,Manufacturing,63,513
Australia,Hardware,236,609
Australia,Education,39,90
Australia,Community and Lifestyle,31,54
Australia,Finance,532,1126
Australia,Cyber Security,52,65
Australia,Healthcare and Life Sciences,115,234
Austria,Healthcare and Life Sciences,92,125
Austria,"Mobile, platforms & Internet services",31,601
Austria,Software,404,1591
Austria,Finance,46,156
Austria,Hardware,45,243
Austria,Biotechnology,70,78
Austria,Energy and natural resources,16,213
Austria,General purpose,192,1209
Austria,Information Technology,80,911
Austria,Transportation,208,333
Austria,All,886,2234
Austria,Data and analytics,195,1250
Belgium,Data and analytics,897,2503
Belgium,Healthcare and Life Sciences,16,101
Belgium,Information Technology,433,1727
Belgium,Cyber Security,79,172
Belgium,Computer Vision,118,118
Belgium,Finance,163,247
Belgium,"Sales, retail, commerce, marketing",153,170
Belgium,General purpose,762,2212
Belgium,Energy and natural resources,229,458
Belgium,All,1953,4014
Belgium,Professional services,292,568
Belgium,Software,975,3029
Belgium,Privacy and Security,81,174
Belgium,Community and Lifestyle,24,27
Belgium,Manufacturing,198,279
Belgium,"Mobile, platforms & Internet services",237,501
Belgium,Hardware,38,226
Belgium,Other,100,349
Bulgaria,All,16,57
Bermuda,All,134,185
Brazil,Privacy and Security,165,179
Brazil,NLP,187,269
Brazil,Software,1409,2949
Brazil,Agriculture,42,51
Brazil,"Sales, retail, commerce, marketing",418,829
Brazil,Telecommunications,135,167
Brazil,"Mobile, platforms & Internet services",364,792
Brazil,Information Technology,1245,1866
Brazil,Finance,190,304
Brazil,Data and analytics,760,2113
Brazil,All,2574,4231
Brazil,General purpose,847,1997
Brazil,Professional services,536,792
Brazil,Other,412,687
Brazil,Lending and Investments,16,31
Brazil,Education,124,142
Brazil,Transportation,35,104
Brazil,Hardware,285,585
Canada,Finance,689,3862
Canada,Privacy and Security,382,1045
Canada,NLP,614,729
Canada,Software,6028,23072
Canada,Other,1188,3679
Canada,Media and Entertainment,300,2666
Canada,Transportation,297,1389
Canada,Agriculture,64,105
Canada,Computer Vision,162,585
Canada,Community and Lifestyle,322,1429
Canada,Data and analytics,4935,24530
Canada,All,14203,39254
Canada,Cyber Security,33,383
Canada,Healthcare and Life Sciences,451,3973
Canada,Robotics,109,1343
Canada,Speech Recognition,35,66
Canada,Manufacturing,1425,2854
Canada,Energy and natural resources,213,4340
Canada,Lending and Investments,60,1069
Canada,Education,85,110
Canada,Professional services,1833,6425
Canada,Biotechnology,223,2198
Canada,Information Technology,1410,8818
Canada,Semiconductor,67,96
Canada,"Military, public safety and government",27,98
Canada,Consumer goods,345,925
Canada,Telecommunications,53,107
Canada,General purpose,5476,19071
Canada,"Sales, retail, commerce, marketing",858,3752
Canada,Real estate,105,1194
