country,field,num_patent_applications,num_patent_granted
Argentina,All,43,17
Argentina,Machine_Learning,33,14
Austria,Measuring_and_Testing,23,18
Austria,Control,40,32
Austria,Energy_Management,22,16
Austria,Machine_Learning,71,54
Austria,All,83,61
Australia,Security__eg_cybersecurity,355,254
Australia,Knowledge_Representation,186,128
Australia,Control,477,361
Australia,Energy_Management,155,125
Australia,Industrial_and_Manufacturing,258,186
Australia,Banking_and_Finance,244,161
Australia,Life_Sciences,1481,843
Australia,Speech_Processing,124,91
Australia,Machine_Learning,3268,2234
Australia,All,4300,2927
Australia,Planning_and_Scheduling,430,272
Australia,Analytics_and_Algorithms,712,413
Australia,Physical_Sciences_and_Engineering,284,199
Australia,Business,591,380
Australia,Ontology_Engineering,83,68
Australia,Logic_Programming,356,252
Australia,Telecommunications,744,540
Australia,Transportation,242,195
Australia,Computer_Vision,1037,731
Australia,Personal_Devices_and_Computing,1578,1187
Australia,Measuring_and_Testing,671,472
Australia,Probabilistic_Reasoning,269,191
Australia,Generic_and_Unspecified,889,563
Belgium,All,32,25
Bulgaria,All,33,29
Brazil,Control,155,118
Brazil,Energy_Management,30,18
Brazil,Physical_Sciences_and_Engineering,85,50
Brazil,Security__eg_cybersecurity,35,22
Brazil,Knowledge_Representation,36,20
Brazil,Computer_Vision,214,154
Brazil,Measuring_and_Testing,211,148
Brazil,Speech_Processing,29,17
Brazil,Business,111,65
Brazil,Generic_and_Unspecified,191,104
Brazil,Transportation,108,92
Brazil,Life_Sciences,260,151
Brazil,Analytics_and_Algorithms,126,74
Brazil,Banking_and_Finance,34,22
Brazil,Machine_Learning,654,421
Brazil,Personal_Devices_and_Computing,296,201
Brazil,Logic_Programming,87,50
Brazil,Planning_and_Scheduling,91,56
Brazil,Telecommunications,153,89
Brazil,All,875,535
Brazil,Industrial_and_Manufacturing,69,44
Brazil,Probabilistic_Reasoning,55,36
Canada,Security__eg_cybersecurity,282,156
Canada,Physical_Sciences_and_Engineering,349,200
Canada,Life_Sciences,1470,713
Canada,Probabilistic_Reasoning,307,179
Canada,Speech_Processing,121,59
Canada,Ontology_Engineering,89,50
Canada,Telecommunications,741,459
Canada,Personal_Devices_and_Computing,1689,1060
Canada,Analytics_and_Algorithms,733,381
Canada,Generic_and_Unspecified,940,449
Canada,Measuring_and_Testing,710,434
Canada,Machine_Learning,3278,1770
Canada,Control,487,331
Canada,Industrial_and_Manufacturing,282,171
Canada,All,4339,2290
Canada,Computer_Vision,983,628
Canada,Knowledge_Representation,228,126
Canada,Transportation,317,240
Canada,Banking_and_Finance,279,143
Canada,Energy_Management,134,79
Canada,Logic_Programming,481,295
Canada,Business,708,342
Canada,Planning_and_Scheduling,518,257
Switzerland,All,37,12
China (mainland),Probabilistic_Reasoning,24983,11412
China (mainland),Physical_Sciences_and_Engineering,12590,5634
China (mainland),Energy_Management,25754,9913
China (mainland),Banking_and_Finance,10584,2854
China (mainland),Speech_Processing,13039,5768
China (mainland),Knowledge_Representation,6238,2354
China (mainland),Computer_Vision,75342,35505
China (mainland),Life_Sciences,29304,11835
China (mainland),Planning_and_Scheduling,39033,14234
China (mainland),Transportation,30513,15535
China (mainland),Machine_Learning,346176,149225
China (mainland),Control,15871,8521
China (mainland),Security__eg_cybersecurity,14281,5551
China (mainland),Measuring_and_Testing,31623,14496
China (mainland),Analytics_and_Algorithms,31352,13460
China (mainland),Ontology_Engineering,28205,11870
China (mainland),Generic_and_Unspecified,83706,39280
China (mainland),Industrial_and_Manufacturing,25701,11773
China (mainland),All,440526,188268
China (mainland),Business,48562,17311
China (mainland),Telecommunications,36149,18049
China (mainland),Personal_Devices_and_Computing,203751,91858
China (mainland),Logic_Programming,12851,5154
Germany,Banking_and_Finance,145,76
Germany,Telecommunications,642,346
Germany,Security__eg_cybersecurity,184,98
Germany,Measuring_and_Testing,1030,502
Germany,Knowledge_Representation,127,68
Germany,Ontology_Engineering,84,36
Germany,Life_Sciences,568,311
Germany,Physical_Sciences_and_Engineering,210,88
Germany,Energy_Management,318,97
Germany,Probabilistic_Reasoning,209,112
Germany,Planning_and_Scheduling,234,119
Germany,Transportation,1272,750
Germany,Analytics_and_Algorithms,663,268
Germany,Generic_and_Unspecified,884,415
Germany,Personal_Devices_and_Computing,1533,716
Germany,Speech_Processing,113,60
Germany,Computer_Vision,1019,577
Germany,Control,1544,853
Germany,Machine_Learning,4206,1848
Germany,Logic_Programming,258,150
Germany,Industrial_and_Manufacturing,461,248
Germany,Business,259,131
Germany,All,5111,2295
Denmark,Computer_Vision,34,32
Denmark,Measuring_and_Testing,27,25
Denmark,Analytics_and_Algorithms,32,29
Denmark,Generic_and_Unspecified,31,29
Denmark,Life_Sciences,52,46
Denmark,Machine_Learning,103,94
Denmark,All,137,124
Denmark,Telecommunications,41,39
Denmark,Control,33,32
Denmark,Personal_Devices_and_Computing,40,39
Denmark,Transportation,21,21
Spain,Logic_Programming,40,35
Spain,Telecommunications,89,82
Spain,Life_Sciences,134,121
Spain,Generic_and_Unspecified,118,92
Spain,Probabilistic_Reasoning,41,37
Spain,Analytics_and_Algorithms,83,80
Spain,Industrial_and_Manufacturing,56,45
Spain,Business,33,23
Spain,Physical_Sciences_and_Engineering,35,28
Spain,Control,95,86
Spain,Security__eg_cybersecurity,24,20
Spain,Machine_Learning,342,308
Spain,Computer_Vision,118,107
Spain,Personal_Devices_and_Computing,147,130
Spain,Energy_Management,30,21
Spain,All,480,416
Spain,Measuring_and_Testing,85,76
Finland,All,215,111
Finland,Logic_Programming,22,8
Finland,Telecommunications,89,49
Finland,Measuring_and_Testing,38,21
Finland,Generic_and_Unspecified,49,22
Finland,Control,32,19
Finland,Planning_and_Scheduling,21,7
Finland,Personal_Devices_and_Computing,84,43
Finland,Analytics_and_Algorithms,61,41
Finland,Life_Sciences,42,26
Finland,Computer_Vision,45,22
Finland,Machine_Learning,157,86
Finland,Industrial_and_Manufacturing,27,11
France,Business,81,48
France,Computer_Vision,263,193
France,Energy_Management,66,46
France,Machine_Learning,941,604
France,Speech_Processing,22,10
France,Planning_and_Scheduling,58,36
France,Personal_Devices_and_Computing,431,302
France,Probabilistic_Reasoning,72,52
France,Knowledge_Representation,29,19
France,Physical_Sciences_and_Engineering,50,36
France,Life_Sciences,188,117
France,Logic_Programming,64,42
France,Security__eg_cybersecurity,86,62
France,All,1356,851
France,Control,221,146
France,Analytics_and_Algorithms,174,97
France,Generic_and_Unspecified,416,254
France,Measuring_and_Testing,224,153
France,Transportation,230,155
France,Telecommunications,215,139
United Kingdom,Business,278,127
United Kingdom,Measuring_and_Testing,422,223
United Kingdom,Control,353,206
United Kingdom,Personal_Devices_and_Computing,1067,618
United Kingdom,Security__eg_cybersecurity,193,101
United Kingdom,Transportation,305,160
United Kingdom,Generic_and_Unspecified,416,185
United Kingdom,Planning_and_Scheduling,211,100
United Kingdom,Industrial_and_Manufacturing,136,78
United Kingdom,Machine_Learning,2575,1153
United Kingdom,Computer_Vision,726,404
United Kingdom,Analytics_and_Algorithms,398,148
United Kingdom,Physical_Sciences_and_Engineering,190,117
United Kingdom,Energy_Management,85,46
United Kingdom,Banking_and_Finance,107,53
United Kingdom,Speech_Processing,137,80
United Kingdom,All,3048,1354
United Kingdom,Life_Sciences,497,201
United Kingdom,Ontology_Engineering,77,30
United Kingdom,Logic_Programming,200,115
United Kingdom,Telecommunications,621,297
United Kingdom,Knowledge_Representation,115,61
United Kingdom,Probabilistic_Reasoning,237,132
Greece,Machine_Learning,50,42
Greece,Personal_Devices_and_Computing,30,24
Greece,All,60,47
Hungary,Machine_Learning,30,23
Hungary,All,39,31
Israel,Telecommunications,52,32
Israel,Life_Sciences,29,5
Israel,Computer_Vision,42,22
Israel,Transportation,21,10
Israel,All,154,65
Israel,Analytics_and_Algorithms,31,11
Israel,Machine_Learning,119,49
Israel,Personal_Devices_and_Computing,75,43
Israel,Generic_and_Unspecified,32,15
Israel,Control,22,12
India,Business,194,105
India,Control,83,75
India,Computer_Vision,231,195
India,Machine_Learning,546,413
India,Transportation,37,29
India,Telecommunications,147,111
India,Probabilistic_Reasoning,109,81
India,Banking_and_Finance,35,19
India,All,877,613
India,Planning_and_Scheduling,140,75
India,Knowledge_Representation,142,104
India,Ontology_Engineering,61,45
India,Logic_Programming,240,172
India,Industrial_and_Manufacturing,29,21
India,Generic_and_Unspecified,158,97
India,Measuring_and_Testing,52,43
India,Analytics_and_Algorithms,89,70
India,Life_Sciences,123,87
India,Personal_Devices_and_Computing,510,399
India,Security__eg_cybersecurity,46,37
Italy,Computer_Vision,77,24
Italy,All,360,114
Italy,Security__eg_cybersecurity,26,5
Italy,Life_Sciences,91,29
