Entity,Code,Year,Average hours worked per person employed
Australia,AUS,1970,1864.9359
Australia,AUS,1971,1847.0405
Australia,AUS,1972,1827.517
Australia,AUS,1973,1814.7051
Australia,AUS,1974,1831.2792
Australia,AUS,1975,1818.5692
Australia,AUS,1976,1828.5344
Australia,AUS,1977,1830.2626
Australia,AUS,1978,1831.0762
Australia,AUS,1979,1835.7948
Australia,AUS,1980,1828.3889
Australia,AUS,1981,1811.3691
Australia,AUS,1982,1781.1008
Australia,AUS,1983,1800.4568
Australia,AUS,1984,1799.9124
Australia,AUS,1985,1800.3287
Australia,AUS,1986,1800.5842
Australia,AUS,1987,1812.7155
Australia,AUS,1988,1808.9115
Australia,AUS,1989,1799.3417
Australia,AUS,1990,1853.2012
Australia,AUS,1991,1836.5647
Australia,AUS,1992,1856.5009
Australia,AUS,1993,1868.0319
Australia,AUS,1994,1863.4207
Australia,AUS,1995,1849.0444
Australia,AUS,1996,1849.6667
Australia,AUS,1997,1837.9954
Australia,AUS,1998,1842.965
Australia,AUS,1999,1843.3217
Australia,AUS,2000,1831.0258
Australia,AUS,2001,1813.9043
Australia,AUS,2002,1794.222
Australia,AUS,2003,1798.2217
Australia,AUS,2004,1801.2285
Australia,AUS,2005,1801.6814
Australia,AUS,2006,1801.2267
Australia,AUS,2007,1796.7828
Australia,AUS,2008,1753.5565
Australia,AUS,2009,1779.1404
Australia,AUS,2010,1755.1497
Australia,AUS,2011,1771.7213
Australia,AUS,2012,1759.702
Australia,AUS,2013,1765.4064
Australia,AUS,2014,1761.3411
Australia,AUS,2015,1732.92
Australia,AUS,2016,1731.268
Austria,AUT,1995,1774.4364
Austria,AUT,1996,1807.2706
Austria,AUT,1997,1815.692
Austria,AUT,1998,1794.0305
Austria,AUT,1999,1797.9713
Austria,AUT,2000,1798.4323
Austria,AUT,2001,1785.4202
Austria,AUT,2002,1782.8479
Austria,AUT,2003,1773.9779
Austria,AUT,2004,1776.4658
Austria,AUT,2005,1752.4894
Austria,AUT,2006,1735.6696
Austria,AUT,2007,1724.7792
Austria,AUT,2008,1717.1951
Austria,AUT,2009,1673.0751
Austria,AUT,2010,1665.8439
Austria,AUT,2011,1671.6877
Austria,AUT,2012,1647.8529
Austria,AUT,2013,1632.0676
Austria,AUT,2014,1621.5658
Austria,AUT,2015,1598.8944
Austria,AUT,2016,1609.3523
Belgium,BEL,1970,1883.5844
Belgium,BEL,1971,1873.5813
Belgium,BEL,1972,1847.5731
Belgium,BEL,1973,1820.5648
Belgium,BEL,1974,1792.5562
Belgium,BEL,1975,1783.5533
Belgium,BEL,1976,1785.554
Belgium,BEL,1977,1760.5461
Belgium,BEL,1978,1743.5409
Belgium,BEL,1979,1727.5359
Belgium,BEL,1980,1707.5298
Belgium,BEL,1981,1683.5223
Belgium,BEL,1982,1669.518
Belgium,BEL,1983,1675.5198
Belgium,BEL,1984,1699.5272
Belgium,BEL,1985,1705.529
Belgium,BEL,1986,1685.523
Belgium,BEL,1987,1670.5182
Belgium,BEL,1988,1658.5145
Belgium,BEL,1989,1649.5117
Belgium,BEL,1990,1663.5161
Belgium,BEL,1991,1626.5046
Belgium,BEL,1992,1603.4974
Belgium,BEL,1993,1559.4838
Belgium,BEL,1994,1559.4838
Belgium,BEL,1995,1585.4918
Belgium,BEL,1996,1559.4838
Belgium,BEL,1997,1572.4878
Belgium,BEL,1998,1583.4912
Belgium,BEL,1999,1582.491
Belgium,BEL,2000,1594.8505
Belgium,BEL,2001,1588.3749
Belgium,BEL,2002,1582.7155
Belgium,BEL,2003,1577.7917
Belgium,BEL,2004,1572.9613
Belgium,BEL,2005,1565.4303
Belgium,BEL,2006,1572.2457
Belgium,BEL,2007,1576.6562
Belgium,BEL,2008,1569.9797
Belgium,BEL,2009,1548.1161
Belgium,BEL,2010,1545.848
Belgium,BEL,2011,1559.6238
Belgium,BEL,2012,1559.9052
Belgium,BEL,2013,1558.0079
Belgium,BEL,2014,1555.2025
Belgium,BEL,2015,1544.61
Belgium,BEL,2016,1545.8151
Canada,CAN,1970,1924.771
Canada,CAN,1971,1911.9675
Canada,CAN,1972,1904.2278
Canada,CAN,1973,1898.3936
Canada,CAN,1974,1891.0038
Canada,CAN,1975,1872.4794
Canada,CAN,1976,1861.845
Canada,CAN,1977,1834.1752
Canada,CAN,1978,1835.5221
Canada,CAN,1979,1840.777
Canada,CAN,1980,1827.1691
Canada,CAN,1981,1811.7013
Canada,CAN,1982,1789.066
Canada,CAN,1983,1779.2021
Canada,CAN,1984,1789.406
Canada,CAN,1985,1794.7775
Canada,CAN,1986,1797.2019
Canada,CAN,1987,1807.0364
Canada,CAN,1988,1808.1738
Canada,CAN,1989,1802.3851
Canada,CAN,1990,1797.1041
Canada,CAN,1991,1774.833
Canada,CAN,1992,1772.263
Canada,CAN,1993,1768.9475
Canada,CAN,1994,1777.7494
Canada,CAN,1995,1775.4641
Canada,CAN,1996,1789.7213
Canada,CAN,1997,1785.3005
Canada,CAN,1998,1782.124
Canada,CAN,1999,1782.0238
Canada,CAN,2000,1778.6146
Canada,CAN,2001,1771.0834
Canada,CAN,2002,1753.5768
Canada,CAN,2003,1746.0251
Canada,CAN,2004,1759.0834
Canada,CAN,2005,1746.601
Canada,CAN,2006,1744.8906
Canada,CAN,2007,1741.265
Canada,CAN,2008,1734.815
Canada,CAN,2009,1701.0573
Canada,CAN,2010,1703.0272
Canada,CAN,2011,1699.6072
Canada,CAN,2012,1712.5426
Canada,CAN,2013,1707.4127
Canada,CAN,2014,1703.6506
Canada,CAN,2015,1707.0731
Canada,CAN,2016,1702.9672
Chile,CHL,1986,2399.478
Chile,CHL,1987,2405.066
Chile,CHL,1988,2410.667
Chile,CHL,1989,2416.281
Chile,CHL,1990,2422.386
Chile,CHL,1991,2418.905
Chile,CHL,1992,2415.424
Chile,CHL,1993,2389.401
Chile,CHL,1994,2363.657
Chile,CHL,1995,2338.192
Chile,CHL,1996,2313
Chile,CHL,1997,2256
Chile,CHL,1998,2299
Chile,CHL,1999,2277
Chile,CHL,2000,2263
Chile,CHL,2001,2242
Chile,CHL,2002,2250
Chile,CHL,2003,2235
Chile,CHL,2004,2232
Chile,CHL,2005,2157
Chile,CHL,2006,2165
Chile,CHL,2007,2128
Chile,CHL,2008,2095
Chile,CHL,2009,2074
Chile,CHL,2010,2070
Chile,CHL,2011,2047
Chile,CHL,2012,2024
Chile,CHL,2013,2015
Chile,CHL,2014,1990
Chile,CHL,2015,1988
Chile,CHL,2016,1974
Czechia,CZE,1993,1856.9026
Czechia,CZE,1994,1838.9036
Czechia,CZE,1995,1857.9026
Czechia,CZE,1996,1852.5775
Czechia,CZE,1997,1857.7623
Czechia,CZE,1998,1877.4183
Czechia,CZE,1999,1893.5347
Czechia,CZE,2000,1895.5621
Czechia,CZE,2001,1818.3157
Czechia,CZE,2002,1816.5702
Czechia,CZE,2003,1806.224
Czechia,CZE,2004,1817.061
Czechia,CZE,2005,1816.9883
Czechia,CZE,2006,1799.1667
Czechia,CZE,2007,1784.3645
Czechia,CZE,2008,1789.5405
Czechia,CZE,2009,1778.767
Czechia,CZE,2010,1799.5005
Czechia,CZE,2011,1805.6233
Czechia,CZE,2012,1776.1244
Czechia,CZE,2013,1763.0048
Czechia,CZE,2014,1776.7375
Czechia,CZE,2015,1756.161
Czechia,CZE,2016,1778.3971
Denmark,DNK,1970,1845.3882
Denmark,DNK,1971,1809.7668
Denmark,DNK,1972,1751.862
Denmark,DNK,1973,1709.757
Denmark,DNK,1974,1691.3688
Denmark,DNK,1975,1616.66
Denmark,DNK,1976,1623.5317
Denmark,DNK,1977,1598.6395
Denmark,DNK,1978,1575.3319
Denmark,DNK,1979,1563.6945
Denmark,DNK,1980,1577.5864
Denmark,DNK,1981,1546.246
Denmark,DNK,1982,1552.7933
Denmark,DNK,1983,1545.7714
Denmark,DNK,1984,1540.6416
Denmark,DNK,1985,1527.7089
Denmark,DNK,1986,1530.6967
Denmark,DNK,1987,1492.7634
Denmark,DNK,1988,1471.0034
Denmark,DNK,1989,1455.0714
Denmark,DNK,1990,1440.549
Denmark,DNK,1991,1437.0579
Denmark,DNK,1992,1452.6305
Denmark,DNK,1993,1449.0786
Denmark,DNK,1994,1406.5643
Denmark,DNK,1995,1419.1543
Denmark,DNK,1996,1412.2479
Denmark,DNK,1997,1428.3137
Denmark,DNK,1998,1441.1987
Denmark,DNK,1999,1456.3748
Denmark,DNK,2000,1466.0171
Denmark,DNK,2001,1468.9253
Denmark,DNK,2002,1462.6897
Denmark,DNK,2003,1457.644
Denmark,DNK,2004,1458.1553
Denmark,DNK,2005,1451.4474
Denmark,DNK,2006,1455.6711
Denmark,DNK,2007,1432.9716
Denmark,DNK,2008,1429.9916
Denmark,DNK,2009,1417.2021
Denmark,DNK,2010,1422.235
Denmark,DNK,2011,1436.7894
Denmark,DNK,2012,1423.2501
Denmark,DNK,2013,1425.8413
Denmark,DNK,2014,1414.1547
Denmark,DNK,2015,1412.2715
Denmark,DNK,2016,1408.9635
Estonia,EST,2000,1977.8729
Estonia,EST,2001,1970.4961
Estonia,EST,2002,1972.69
Estonia,EST,2003,1978.3347
Estonia,EST,2004,1986.4607
Estonia,EST,2005,2008.3733
Estonia,EST,2006,2000.9904
Estonia,EST,2007,1998.4846
Estonia,EST,2008,1967.7698
Estonia,EST,2009,1832.1401
Estonia,EST,2010,1874.7017
Estonia,EST,2011,1918.863
Estonia,EST,2012,1885.6866
Estonia,EST,2013,1865.8429
Estonia,EST,2014,1859.4319
Estonia,EST,2015,1851.6166
Estonia,EST,2016,1855.1993
Euro area (19 countries),,1995,1678.5128
Euro area (19 countries),,1996,1675.5554
Euro area (19 countries),,1997,1670.921
Euro area (19 countries),,1998,1671.0901
Euro area (19 countries),,1999,1664.3228
Euro area (19 countries),,2000,1649.869
Euro area (19 countries),,2001,1640.8164
Euro area (19 countries),,2002,1628.4967
Euro area (19 countries),,2003,1624.2705
Euro area (19 countries),,2004,1629.1449
Euro area (19 countries),,2005,1625.1964
Euro area (19 countries),,2006,1624.0494
Euro area (19 countries),,2007,1626.5397
Euro area (19 countries),,2008,1625.0392
Euro area (19 countries),,2009,1597.4125
Euro area (19 countries),,2010,1599.0748
Euro area (19 countries),,2011,1597.6785
Euro area (19 countries),,2012,1579.1084
Euro area (19 countries),,2013,1567.5386
Euro area (19 countries),,2014,1567.0917
Euro area (19 countries),,2015,1567.9425
Euro area (19 countries),,2016,1566.2899
European Union (28 countries),,1995,1710.0576
European Union (28 countries),,1996,1712.3547
European Union (28 countries),,1997,1707.1589
European Union (28 countries),,1998,1712.8329
European Union (28 countries),,1999,1710.507
European Union (28 countries),,2000,1698.1389
European Union (28 countries),,2001,1689.6793
European Union (28 countries),,2002,1685.7397
European Union (28 countries),,2003,1678.7368
European Union (28 countries),,2004,1681.5708
European Union (28 countries),,2005,1681.0618
European Union (28 countries),,2006,1679.9678
European Union (28 countries),,2007,1682.0973
European Union (28 countries),,2008,1679.2809
European Union (28 countries),,2009,1657.5942
European Union (28 countries),,2010,1653.8148
European Union (28 countries),,2011,1655.6085
European Union (28 countries),,2012,1639.7628
European Union (28 countries),,2013,1632.5059
European Union (28 countries),,2014,1633.743
European Union (28 countries),,2015,1631.3286
European Union (28 countries),,2016,1633.3726
Finland,FIN,1970,1982.1497
