Entity,Code,Year,Share of people who recently paid a bribe or were asked for one,World region according to OWID
Afghanistan,AFG,2009,58.6,Asia
Afghanistan,AFG,2012,50.1,Asia
Algeria,DZA,2015,14,Africa
Argentina,ARG,2016,16,South America
Armenia,ARM,2015,17.42,Asia
Australia,AUS,2016,4,Oceania
Austria,AUT,2021,9,Europe
Azerbaijan,AZE,2016,27.59,Asia
Bahamas,BHS,2019,20,North America
Bangladesh,BGD,2020,24,Asia
Barbados,BRB,2019,9,North America
Belarus,BLR,2016,14.52,Europe
Belgium,BEL,2016,2.18,Europe
Belgium,BEL,2021,10,Europe
Benin,BEN,2014,26,Africa
Benin,BEN,2016,27,Africa
Bolivia,BOL,2016,28,South America
Bolivia,BOL,2023,30,South America
Bosnia and Herzegovina,BIH,2010,20.7,Europe
Bosnia and Herzegovina,BIH,2015,24.2,Europe
Botswana,BWA,2014,1,Africa
Botswana,BWA,2017,7,Africa
Brazil,BRA,2016,11,South America
Brazil,BRA,2017,11,South America
Brazil,BRA,2019,11,South America
Bulgaria,BGR,2015,12.34,Europe
Bulgaria,BGR,2021,19,Europe
Burkina Faso,BFA,2015,11,Africa
Burkina Faso,BFA,2017,16,Africa
Cambodia,KHM,2016,40,Asia
Cambodia,KHM,2020,37,Asia
Cameroon,CMR,2015,48,Africa
Cameroon,CMR,2018,48,Africa
Cape Verde,CPV,2013,1.5,Africa
Cape Verde,CPV,2014,2,Africa
Cape Verde,CPV,2016,1.2,Africa
Cape Verde,CPV,2019,8,Africa
Chile,CHL,2016,22,South America
Chile,CHL,2019,13,South America
Colombia,COL,2016,30,South America
Colombia,COL,2021,30.8,South America
Colombia,COL,2022,22.2,South America
Costa Rica,CRI,2016,24,North America
Costa Rica,CRI,2019,7,North America
Cote d'Ivoire,CIV,2014,34,Africa
Cote d'Ivoire,CIV,2016,34,Africa
Croatia,HRV,2010,11.2,Europe
Croatia,HRV,2015,6.14,Europe
Croatia,HRV,2021,14,Europe
Cyprus,CYP,2015,1.45,Europe
Cyprus,CYP,2021,4,Europe
Czechia,CZE,2016,6.53,Europe
Czechia,CZE,2021,11,Europe
Democratic Republic of Congo,COD,2018,80,Africa
Denmark,DNK,2021,1,Europe
Dominican Republic,DOM,2016,46,North America
Dominican Republic,DOM,2019,23,North America
Dominican Republic,DOM,2022,40.3,North America
East Timor,TLS,2011,4,Asia
Ecuador,ECU,2016,28,South America
Egypt,EGY,2015,50,Africa
El Salvador,SLV,2016,31,North America
El Salvador,SLV,2019,14,North America
Estonia,EST,2004,3.3,Europe
Estonia,EST,2009,0.5,Europe
Estonia,EST,2015,3.63,Europe
Estonia,EST,2021,1,Europe
Eswatini,SWZ,2015,9,Africa
Eswatini,SWZ,2018,17,Africa
Fiji,FJI,2021,5,Oceania
Finland,FIN,2021,1,Europe
France,FRA,2015,1.45,Europe
France,FRA,2018,0.1,Europe
France,FRA,2021,5,Europe
French Polynesia,PYF,2021,11,Oceania
Gabon,GAB,2017,35,Africa
Gambia,GMB,2018,21,Africa
Gambia,GMB,2020,7.2,Africa
Georgia,GEO,2016,5.08,Asia
Germany,DEU,2016,2.18,Europe
Germany,DEU,2021,3,Europe
Ghana,GHA,2014,36,Africa
Ghana,GHA,2017,33,Africa
Ghana,GHA,2021,26.7,Africa
Greece,GRC,2015,7.26,Europe
Greece,GRC,2021,9,Europe
Guatemala,GTM,2016,28,North America
Guatemala,GTM,2019,25,North America
Guinea,GIN,2015,35,Africa
Guinea,GIN,2017,42,Africa
Guyana,GUY,2019,27,South America
Honduras,HND,2016,33,North America
Honduras,HND,2019,28,North America
Hong Kong,HKG,2016,2,Asia
Hungary,HUN,2016,15.97,Europe
Hungary,HUN,2021,17,Europe
India,IND,2016,69,Asia
India,IND,2020,39,Asia
Indonesia,IDN,2016,32,Asia
Indonesia,IDN,2020,16.79,Asia
Indonesia,IDN,2021,17.63,Asia
Indonesia,IDN,2022,15.46,Asia
Indonesia,IDN,2023,16.33,Asia
Ireland,IRL,2021,5,Europe
Italy,ITA,2016,1.2,Europe
Italy,ITA,2021,3,Europe
Italy,ITA,2023,0.5,Europe
Jamaica,JAM,2019,6.5,North America
Japan,JPN,2016,0.2,Asia
Japan,JPN,2020,2,Asia
Jordan,JOR,2014,4,Asia
Jordan,JOR,2019,4,Asia
Kazakhstan,KAZ,2016,21.05,Asia
Kenya,KEN,2014,37,Africa
Kenya,KEN,2016,45,Africa
Kiribati,KIR,2021,64,Oceania
Kosovo,OWID_KOS,2010,11.1,Europe
Kosovo,OWID_KOS,2015,9.16,Europe
Kyrgyzstan,KGZ,2015,14.2,Asia
Kyrgyzstan,KGZ,2016,27.59,Asia
Latvia,LVA,2015,10.89,Europe
Latvia,LVA,2021,9,Europe
Lebanon,LBN,2014,28,Asia
Lebanon,LBN,2019,41,Asia
Lesotho,LSO,2014,5,Africa
Lesotho,LSO,2017,14,Africa
Liberia,LBR,2015,69,Africa
Liberia,LBR,2018,53,Africa
Lithuania,LTU,2005,27,Europe
Lithuania,LTU,2007,28.1,Europe
Lithuania,LTU,2008,24,Europe
Lithuania,LTU,2011,22,Europe
Lithuania,LTU,2014,24.1,Europe
Lithuania,LTU,2016,15.5,Europe
Lithuania,LTU,2018,11.6,Europe
Lithuania,LTU,2019,9.5,Europe
Lithuania,LTU,2020,8.6,Europe
Lithuania,LTU,2021,10.1,Europe
Luxembourg,LUX,2013,0.6,Europe
Luxembourg,LUX,2021,2,Europe
Madagascar,MDG,2014,16,Africa
Madagascar,MDG,2018,27,Africa
Malawi,MWI,2014,13,Africa
Malawi,MWI,2016,28,Africa
Malaysia,MYS,2016,23,Asia
Malaysia,MYS,2020,13,Asia
Maldives,MDV,2020,2,Asia
Mali,MLI,2014,18,Africa
Mali,MLI,2017,21,Africa
Malta,MLT,2021,4,Europe
Mauritius,MUS,2014,1,Africa
Mauritius,MUS,2017,5,Africa
Mexico,MEX,2013,12.1,North America
Mexico,MEX,2015,12.6,North America
Mexico,MEX,2017,14.6,North America
Mexico,MEX,2019,15.73,North America
Mexico,MEX,2021,14.7,North America
Mexico,MEX,2023,13.96,North America
Micronesia (country),FSM,2021,61,Oceania
Moldova,MDA,2016,30.49,Europe
Mongolia,MNG,2015,20,Asia
Mongolia,MNG,2020,22,Asia
Montenegro,MNE,2010,9.7,Europe
Montenegro,MNE,2015,12.08,Europe
Morocco,MAR,2018,31,Africa
Mozambique,MOZ,2018,35,Africa
Myanmar,MMR,2016,40,Asia
Myanmar,MMR,2020,20,Asia
Namibia,NAM,2014,7,Africa
Namibia,NAM,2017,11,Africa
Nepal,NPL,2020,12,Asia
Netherlands,NLD,2016,1.45,Europe
Netherlands,NLD,2021,2,Europe
New Caledonia,NCL,2021,31,Oceania
Nicaragua,NIC,2016,30,North America
Niger,NER,2015,10,Africa
Niger,NER,2018,23,Africa
Nigeria,NGA,2016,32.3,Africa
Nigeria,NGA,2019,30.2,Africa
Nigeria,NGA,2023,26.77,Africa
North Macedonia,MKD,2010,6.2,Europe
North Macedonia,MKD,2015,6.42,Europe
Pakistan,PAK,2016,40,Asia
Palestine,PSE,2014,13,Asia
Palestine,PSE,2019,17,Asia
Panama,PAN,2016,3.2,North America
Panama,PAN,2019,18,North America
Papua New Guinea,PNG,2021,54,Oceania
Paraguay,PRY,2016,23,South America
Paraguay,PRY,2019,7.5,South America
Peru,PER,2004,3.6,South America
Peru,PER,2005,3.22,South America
Peru,PER,2006,3.91,South America
Peru,PER,2007,4.81,South America
Peru,PER,2008,5.53,South America
Peru,PER,2009,5.35,South America
Peru,PER,2010,5,South America
Peru,PER,2011,4.4,South America
Peru,PER,2012,3.7,South America
Peru,PER,2013,3.2,South America
Peru,PER,2014,2.9,South America
Peru,PER,2015,2.8,South America
Peru,PER,2016,3.6,South America
Peru,PER,2017,2.7,South America
Peru,PER,2018,3,South America
Peru,PER,2019,3,South America
Peru,PER,2020,3,South America
Peru,PER,2021,3,South America
Peru,PER,2022,3.2,South America
Peru,PER,2023,2.7,South America
Philippines,PHL,2013,5.6,Asia
Philippines,PHL,2016,3.2,Asia
Philippines,PHL,2017,2.5,Asia
Philippines,PHL,2019,5.5,Asia
Poland,POL,2010,6.8,Europe
Poland,POL,2016,5.08,Europe
Poland,POL,2021,10,Europe
Portugal,PRT,2015,1.45,Europe
Portugal,PRT,2021,3,Europe
Puerto Rico,PRI,2023,29.8,North America
Puerto Rico,PRI,2024,33.3,North America
Romania,ROU,2016,21.05,Europe
Romania,ROU,2021,20,Europe
Russia,RUS,2016,24.68,Europe
Saint Lucia,LCA,2018,0.1,North America
Saint Lucia,LCA,2019,0.1,North America
Samoa,WSM,2021,17,Oceania
Sao Tome and Principe,STP,2018,16,Africa
Senegal,SEN,2014,8,Africa
Senegal,SEN,2017,15,Africa
Serbia,SRB,2010,9.3,Europe
Serbia,SRB,2015,15.91,Europe
Sierra Leone,SLE,2015,41,Africa
Sierra Leone,SLE,2018,52,Africa
Slovakia,SVK,2015,8.71,Europe
Slovakia,SVK,2021,11,Europe
Slovenia,SVN,2015,2.18,Europe
Slovenia,SVN,2021,4,Europe
Solomon Islands,SLB,2021,21,Oceania
South Africa,ZAF,2015,7,Africa
South Africa,ZAF,2018,18,Africa
South Africa,ZAF,2019,18,Africa
Spain,ESP,2015,2.18,Europe
Spain,ESP,2021,2,Europe
Sri Lanka,LKA,2016,15,Asia
Sri Lanka,LKA,2019,16,Asia
Sudan,SDN,2018,24,Africa
Sweden,SWE,2015,0.73,Europe
Sweden,SWE,2021,1,Europe
Switzerland,CHE,2020,0.5,Europe
Switzerland,CHE,2021,0.7,Europe
Tajikistan,TJK,2016,36.3,Asia
Tanzania,TZA,2009,19,Africa
Tanzania,TZA,2014,25,Africa
Tanzania,TZA,2017,18,Africa
Thailand,THA,2016,41,Asia
