Entity,Code,Year,"Homicide rate per 100,000 population of female victims",World region according to OWID
Afghanistan,AFG,2018,1.4357685,Asia
Afghanistan,AFG,2019,1.2702497,Asia
Africa (UN),UN_AFR,2000,4.476579,
Africa (UN),UN_AFR,2001,4.4664197,
Africa (UN),UN_AFR,2002,4.4596257,
Africa (UN),UN_AFR,2003,4.333797,
Africa (UN),UN_AFR,2004,4.245534,
Africa (UN),UN_AFR,2005,4.191136,
Africa (UN),UN_AFR,2006,4.1866684,
Africa (UN),UN_AFR,2007,4.1424026,
Africa (UN),UN_AFR,2008,4.059038,
Africa (UN),UN_AFR,2009,4.172635,
Africa (UN),UN_AFR,2010,4.2221584,
Africa (UN),UN_AFR,2011,4.157788,
Africa (UN),UN_AFR,2012,4.1375437,
Africa (UN),UN_AFR,2013,4.1528497,
Africa (UN),UN_AFR,2014,4.1645308,
Africa (UN),UN_AFR,2015,4.1829,
Africa (UN),UN_AFR,2016,4.158333,
Africa (UN),UN_AFR,2017,4.0772395,
Africa (UN),UN_AFR,2018,3.9494815,
Africa (UN),UN_AFR,2019,3.835519,
Africa (UN),UN_AFR,2020,3.8209658,
Africa (UN),UN_AFR,2021,3.9786215,
Africa (UN),UN_AFR,2022,4.100322,
Africa (UN),UN_AFR,2023,4.022749,
Albania,ALB,1992,0.85319525,Europe
Albania,ALB,1993,0.97404385,Europe
Albania,ALB,1994,0.7304811,Europe
Albania,ALB,1995,1.5835675,Europe
Albania,ALB,1996,1.7071817,Europe
Albania,ALB,1997,10.81225,Europe
Albania,ALB,1998,5.329881,Europe
Albania,ALB,1999,3.9962041,Europe
Albania,ALB,2000,0.8022854,Europe
Albania,ALB,2001,2.4174953,Europe
Albania,ALB,2002,2.431295,Europe
Albania,ALB,2003,1.3183668,Europe
Albania,ALB,2004,1.2024593,Europe
Albania,ALB,2005,1.3410416,Europe
Albania,ALB,2006,1.4833145,Europe
Albania,ALB,2007,1.5644153,Europe
Albania,ALB,2008,1.2526656,Europe
Albania,ALB,2009,0.4670545,Europe
Albania,ALB,2010,0.74314255,Europe
Albania,ALB,2011,1.2239815,Europe
Albania,ALB,2012,1.768731,Europe
Albania,ALB,2013,1.3616368,Europe
Albania,ALB,2014,0.8180617,Europe
Albania,ALB,2015,1.0927227,Europe
Albania,ALB,2016,1.1614147,Europe
Albania,ALB,2017,0.8880992,Europe
Albania,ALB,2018,1.0262305,Europe
Albania,ALB,2019,0.89234203,Europe
Albania,ALB,2020,0.6204556,Europe
Albania,ALB,2021,0.83334434,Europe
Albania,ALB,2022,0.55969846,Europe
Albania,ALB,2023,0.8441487,Europe
Albania,ALB,2024,0.6375098,Europe
Algeria,DZA,2012,0.28324157,Africa
Algeria,DZA,2013,0.20808928,Africa
Algeria,DZA,2014,0.44668955,Africa
Algeria,DZA,2015,0.36329874,Africa
Algeria,DZA,2016,0.37581632,Africa
Algeria,DZA,2017,0.2748727,Africa
Algeria,DZA,2018,0.41385472,Africa
Algeria,DZA,2019,0.40612486,Africa
Algeria,DZA,2020,0.5660789,Africa
Algeria,DZA,2021,0.73017114,Africa
Algeria,DZA,2022,0.5029071,Africa
