Entity,Code,Year,Share of one person households
Afghanistan,AFG,2015,0.18942507
Albania,ALB,2011,8.274421
Angola,AGO,2007,4.082942
Angola,AGO,2011,6.603705
Angola,AGO,2016,10.813147
Argentina,ARG,1970,10.256262
Argentina,ARG,1980,10.381546
Argentina,ARG,2001,14.883469
Argentina,ARG,2010,17.59834
Armenia,ARM,2000,8.410598
Armenia,ARM,2005,13.0647955
Armenia,ARM,2010,15.263278
Aruba,ABW,2010,21.367496
Australia,AUS,1996,22.1
Australia,AUS,2001,22.9
Australia,AUS,2011,24.4
Australia,AUS,2016,24.991852
Austria,AUT,2003,31.6
Austria,AUT,2004,34.1
Austria,AUT,2005,34.5
Austria,AUT,2006,34.7
Austria,AUT,2007,35
Austria,AUT,2008,35.3
Austria,AUT,2009,35.7
Austria,AUT,2010,36
Austria,AUT,2011,36.2
Austria,AUT,2012,36.5
Austria,AUT,2013,36.7
Austria,AUT,2014,37
Austria,AUT,2015,37.2
Austria,AUT,2016,37
Austria,AUT,2017,37
Austria,AUT,2018,37.2
Azerbaijan,AZE,2009,6.76635
Bahamas,BHS,2010,17.73098
Bangladesh,BGD,1994,1.5454429
Bangladesh,BGD,1997,1.8837793
Bangladesh,BGD,2000,1.5271554
Bangladesh,BGD,2004,1.7024541
Bangladesh,BGD,2007,2.2574751
Bangladesh,BGD,2011,1.7350125
Bangladesh,BGD,2014,1.7384868
Belarus,BLR,1999,26.15616
Belarus,BLR,2009,29.653648
Belgium,BEL,2003,33
Belgium,BEL,2004,32.4
Belgium,BEL,2005,33.9
Belgium,BEL,2006,33.5
Belgium,BEL,2007,34.1
Belgium,BEL,2008,34.8
Belgium,BEL,2009,34.6
Belgium,BEL,2010,34.6
Belgium,BEL,2011,34.9
Belgium,BEL,2012,34.9
Belgium,BEL,2013,34.5
Belgium,BEL,2014,34.3
Belgium,BEL,2015,34.6
Belgium,BEL,2016,34.1
Belgium,BEL,2017,34
Belgium,BEL,2018,34.7
Benin,BEN,1996,8.70339
Benin,BEN,2001,11.859599
Benin,BEN,2006,10.501502
Benin,BEN,2012,10.26513
Bermuda,BMU,2000,27.87498
Bermuda,BMU,2010,28.874939
Bolivia,BOL,1994,8.234653
Bolivia,BOL,1998,10.009118
Bolivia,BOL,2003,12.120901
Bolivia,BOL,2008,12.760753
Botswana,BWA,1981,10.826529
Botswana,BWA,1991,18.041275
Botswana,BWA,2001,23.278973
Botswana,BWA,2011,27.89102
Brazil,BRA,1960,4.8492556
Brazil,BRA,1970,5.214227
Brazil,BRA,1980,6.12647
Brazil,BRA,1991,6.6682205
Brazil,BRA,2000,8.9299555
Brazil,BRA,2010,12.000755
Brunei,BRN,2011,7.2160263
Bulgaria,BGR,2005,18.6
Bulgaria,BGR,2006,18.6
Bulgaria,BGR,2007,21.1
Bulgaria,BGR,2008,18.4
Bulgaria,BGR,2009,19.1
Bulgaria,BGR,2010,19.4
Bulgaria,BGR,2011,19.9
Bulgaria,BGR,2012,21.6
Bulgaria,BGR,2013,22.4
Bulgaria,BGR,2014,24.2
Bulgaria,BGR,2015,28.9
Bulgaria,BGR,2016,30.6
Bulgaria,BGR,2017,31
Bulgaria,BGR,2018,33.3
Burkina Faso,BFA,1993,5.0258865
Burkina Faso,BFA,1999,4.3903384
Burkina Faso,BFA,2003,6.1480885
Burkina Faso,BFA,2010,6.3266373
Burkina Faso,BFA,2014,6.6402984
Burundi,BDI,2010,5.772
Burundi,BDI,2012,6.1911473
Burundi,BDI,2016,6.042051
Cambodia,KHM,2000,1.8651421
Cambodia,KHM,2005,2.9495742
Cambodia,KHM,2010,2.833943
Cambodia,KHM,2014,3.3723404
Cameroon,CMR,1991,14.186731
Cameroon,CMR,1998,12.7016735
Cameroon,CMR,2004,17.600386
Cameroon,CMR,2011,15.142692
Canada,CAN,2001,25.744932
Canada,CAN,2006,26.750216
Canada,CAN,2011,27.576178
Central African Republic,CAF,1994,13.503362
Chad,TCD,1997,9.559245
Chad,TCD,2004,8.028637
Chad,TCD,2015,7.73224
Chile,CHL,1970,5.6915674
Chile,CHL,1982,6.945171
Chile,CHL,1992,8.316079
Chile,CHL,2002,11.425394
China,CHN,1982,7.9939966
China,CHN,1990,6.3183875
China,CHN,2000,8.589161
Colombia,COL,1990,6.624852
Colombia,COL,1995,6.390416
