Entity,Code,Year,Trust in others,Trust in others (Annotations)
Albania,ALB,1998,24.32433,
Albania,ALB,2004,23.2,
Albania,ALB,2010,9.221174,
Albania,ALB,2022,2.77237,
Algeria,DZA,2004,10.76443,
Algeria,DZA,2014,17.16667,
Andorra,AND,2010,19.97793,
Andorra,AND,2022,25.49801,
Argentina,ARG,1984,24.53115,
Argentina,ARG,1993,22.35529,
Argentina,ARG,1998,17.08436,
Argentina,ARG,2004,15.01535,
Argentina,ARG,2010,17.36787,
Argentina,ARG,2014,19.20537,
Argentina,ARG,2022,19.18133,
Armenia,ARM,1998,23.5,
Armenia,ARM,2010,20.38736,
Armenia,ARM,2014,10.89254,
Armenia,ARM,2022,17.51707,
Australia,AUS,1984,46.28354,
Australia,AUS,1998,39.44921,
Australia,AUS,2010,45.57007,
Australia,AUS,2014,51.44999,
Australia,AUS,2022,48.53989,
Austria,AUT,1993,28.12943,
Austria,AUT,2004,31.29222,
Austria,AUT,2010,34.96698,
Austria,AUT,2022,49.77389,
Azerbaijan,AZE,1998,19.43057,
Azerbaijan,AZE,2014,14.79329,
Azerbaijan,AZE,2022,26.30006,
Bangladesh,BGD,1998,20.45901,
Bangladesh,BGD,2004,23.26667,
Bangladesh,BGD,2022,12.91667,
Belarus,BLR,1993,25.02463,
Belarus,BLR,1998,22.99235,
Belarus,BLR,2004,38,
Belarus,BLR,2010,41.32299,
Belarus,BLR,2014,32.59855,
Belarus,BLR,2022,40.04594,
Belgium,BEL,1984,25.10496,
Belgium,BEL,1993,30.61534,
Belgium,BEL,2004,29.36006,
Belgium,BEL,2010,35.66922,
Bolivia,BOL,2022,8.514756,
Bosnia and Herzegovina,BIH,1998,26.91667,
Bosnia and Herzegovina,BIH,2004,15.58333,
Bosnia and Herzegovina,BIH,2010,25.63427,
Bosnia and Herzegovina,BIH,2022,9.64249,
Brazil,BRA,1993,6.601986,
Brazil,BRA,1998,2.79965,
Brazil,BRA,2010,9.2391,
Brazil,BRA,2014,7.063784,
Brazil,BRA,2022,6.524758,
Bulgaria,BGR,1993,28.7234,
Bulgaria,BGR,1998,23.69403,
Bulgaria,BGR,2004,24.85789,
Bulgaria,BGR,2010,18.2579,
Bulgaria,BGR,2022,17.09326,
Burkina Faso,BFA,2010,13.82008,
Canada,CAN,1984,47.68692,
Canada,CAN,1993,50.65347,
Canada,CAN,2004,38.43174,
Canada,CAN,2010,41.79429,
Canada,CAN,2022,46.69302,
Chile,CHL,1993,22.06667,
Chile,CHL,1998,21.377,
Chile,CHL,2004,22.17667,
Chile,CHL,2010,12.37054,
Chile,CHL,2014,12.4,
Chile,CHL,2022,12.90272,
China,CHN,1993,59.4,
China,CHN,1998,50.4,
China,CHN,2004,52.5,
China,CHN,2010,49.28643,
China,CHN,2014,60.342,
China,CHN,2022,63.48947,
Colombia,COL,1998,10.72199,
Colombia,COL,2010,14.31405,
Colombia,COL,2014,4.100529,
