Entity,Code,Year,Share of the population using safely managed drinking water
Afghanistan,AFG,2000,11.483052
Afghanistan,AFG,2001,11.495201
Afghanistan,AFG,2002,12.2981
Afghanistan,AFG,2003,13.10075
Afghanistan,AFG,2004,13.910267
Afghanistan,AFG,2005,14.726554
Afghanistan,AFG,2006,15.542417
Afghanistan,AFG,2007,16.65025
Afghanistan,AFG,2008,17.554295
Afghanistan,AFG,2009,18.389793
Afghanistan,AFG,2010,19.224722
Afghanistan,AFG,2011,20.059193
Afghanistan,AFG,2012,20.89308
Afghanistan,AFG,2013,21.72638
Afghanistan,AFG,2014,22.55909
Afghanistan,AFG,2015,23.391308
Afghanistan,AFG,2016,24.222923
Afghanistan,AFG,2017,25.055178
Afghanistan,AFG,2018,25.888214
Afghanistan,AFG,2019,26.721855
Afghanistan,AFG,2020,27.555935
Afghanistan,AFG,2021,28.39068
Afghanistan,AFG,2022,29.225822
Afghanistan,AFG,2023,29.907448
Afghanistan,AFG,2024,30.554722
Africa (WHO),WHO_AFR,2000,19.846087
Africa (WHO),WHO_AFR,2001,20.093462
Africa (WHO),WHO_AFR,2002,20.49743
Africa (WHO),WHO_AFR,2003,20.909882
Africa (WHO),WHO_AFR,2004,21.375198
Africa (WHO),WHO_AFR,2005,21.844574
Africa (WHO),WHO_AFR,2006,22.346731
Africa (WHO),WHO_AFR,2007,22.889801
Africa (WHO),WHO_AFR,2008,23.466745
Africa (WHO),WHO_AFR,2009,24.066639
Africa (WHO),WHO_AFR,2010,24.688044
Africa (WHO),WHO_AFR,2011,25.060333
Africa (WHO),WHO_AFR,2012,25.728968
Africa (WHO),WHO_AFR,2013,26.422888
Africa (WHO),WHO_AFR,2014,27.148869
Africa (WHO),WHO_AFR,2015,27.912064
Africa (WHO),WHO_AFR,2016,28.6639
Africa (WHO),WHO_AFR,2017,29.407
Africa (WHO),WHO_AFR,2018,30.213354
Africa (WHO),WHO_AFR,2019,31.01558
Africa (WHO),WHO_AFR,2020,31.636965
Africa (WHO),WHO_AFR,2021,32.1418
Africa (WHO),WHO_AFR,2022,32.596992
Africa (WHO),WHO_AFR,2023,33.042763
Africa (WHO),WHO_AFR,2024,33.474796
Albania,ALB,2000,49.13832
Albania,ALB,2001,49.0812
Albania,ALB,2002,48.984764
Albania,ALB,2003,48.88544
Albania,ALB,2004,50.717678
Albania,ALB,2005,52.578335
Albania,ALB,2006,54.467083
Albania,ALB,2007,56.383842
Albania,ALB,2008,58.32848
Albania,ALB,2009,60.300907
Albania,ALB,2010,62.30063
Albania,ALB,2011,64.3274
Albania,ALB,2012,66.38085
Albania,ALB,2013,68.45983
Albania,ALB,2014,70.563255
Albania,ALB,2015,70.59197
Albania,ALB,2016,70.61651
Albania,ALB,2017,70.63694
Albania,ALB,2018,70.65335
Albania,ALB,2019,70.665855
Albania,ALB,2020,70.67454
Albania,ALB,2021,70.705795
Albania,ALB,2022,70.73607
Albania,ALB,2023,70.765396
Albania,ALB,2024,70.79374
Algeria,DZA,2000,69.49311
