Entity,Code,Year,Total number of emigrants
Afghanistan,AFG,1990,7477104
Afghanistan,AFG,1995,4107724
Afghanistan,AFG,2000,4544516
Afghanistan,AFG,2005,3902699
Afghanistan,AFG,2010,5074825
Afghanistan,AFG,2015,5181002
Afghanistan,AFG,2020,5729887
Afghanistan,AFG,2024,7528994
Africa,,1990,19677870
Africa,,1995,21240099
Africa,,2000,21162547
Africa,,2005,24080357
Africa,,2010,27829220
Africa,,2015,34659532
Africa,,2020,40006733
Africa,,2024,45750673
Albania,ALB,1990,178747
Albania,ALB,1995,394084
Albania,ALB,2000,629192
Albania,ALB,2005,784369
Albania,ALB,2010,962514
Albania,ALB,2015,985561
Albania,ALB,2020,1103849
Albania,ALB,2024,1216628
Algeria,DZA,1990,1458505
Algeria,DZA,1995,1424971
Algeria,DZA,2000,1427791
Algeria,DZA,2005,1554741
Algeria,DZA,2010,1604582
Algeria,DZA,2015,1662433
Algeria,DZA,2020,1732822
Algeria,DZA,2024,1780399
American Samoa,ASM,1990,1085
American Samoa,ASM,1995,1625
American Samoa,ASM,2000,2183
American Samoa,ASM,2005,2148
American Samoa,ASM,2010,2341
American Samoa,ASM,2015,2452
American Samoa,ASM,2020,2952
American Samoa,ASM,2024,3362
Andorra,AND,1990,143
Andorra,AND,1995,283
Andorra,AND,2000,436
Andorra,AND,2005,448
Andorra,AND,2010,1213
Andorra,AND,2015,1467
Andorra,AND,2020,1751
Andorra,AND,2024,1982
Angola,AGO,1990,799084
Angola,AGO,1995,656106
Angola,AGO,2000,873474
Angola,AGO,2005,663380
Angola,AGO,2010,579968
Angola,AGO,2015,518695
Angola,AGO,2020,549257
Angola,AGO,2024,616967
Anguilla,AIA,1990,2262
Anguilla,AIA,1995,2205
Anguilla,AIA,2000,2158
Anguilla,AIA,2005,1776
Anguilla,AIA,2010,1719
Anguilla,AIA,2015,1572
Anguilla,AIA,2020,1561
Anguilla,AIA,2024,1614
Antigua and Barbuda,ATG,1990,7368
Antigua and Barbuda,ATG,1995,7792
Antigua and Barbuda,ATG,2000,8297
Antigua and Barbuda,ATG,2005,7978
Antigua and Barbuda,ATG,2010,8143
Antigua and Barbuda,ATG,2015,12860
Antigua and Barbuda,ATG,2020,12999
Antigua and Barbuda,ATG,2024,13111
Argentina,ARG,1990,406466
Argentina,ARG,1995,445110
Argentina,ARG,2000,571985
Argentina,ARG,2005,824076
Argentina,ARG,2010,877341
Argentina,ARG,2015,895980
Argentina,ARG,2020,1014400
Argentina,ARG,2024,1183381
Armenia,ARM,1990,813557
Armenia,ARM,1995,990938
Armenia,ARM,2000,950779
Armenia,ARM,2005,787489
Armenia,ARM,2010,799328
Armenia,ARM,2015,741708
Armenia,ARM,2020,685545
Armenia,ARM,2024,637604
Aruba,ABW,1990,4564
Aruba,ABW,1995,4844
Aruba,ABW,2000,5433
Aruba,ABW,2005,5447
Aruba,ABW,2010,7117
Aruba,ABW,2015,9011
Aruba,ABW,2020,16628
Aruba,ABW,2024,29305
Asia,,1990,54154302
Asia,,1995,56278875
Asia,,2000,62918051
Asia,,2005,69817605
Asia,,2010,85229256
Asia,,2015,101116455
Asia,,2020,111067828
Asia,,2024,120717155
Australia,AUS,1990,250909
Australia,AUS,1995,280785
Australia,AUS,2000,311529
Australia,AUS,2005,337326
Australia,AUS,2010,362178
Australia,AUS,2015,403333
Australia,AUS,2020,420672
Australia,AUS,2024,430718
Austria,AUT,1990,433951
Austria,AUT,1995,418616
Austria,AUT,2000,414141
Austria,AUT,2005,408939
Austria,AUT,2010,409023
Austria,AUT,2015,411144
Austria,AUT,2020,424072
Austria,AUT,2024,430560
Azerbaijan,AZE,1990,1334492
Azerbaijan,AZE,1995,1517896
Azerbaijan,AZE,2000,1466589
Azerbaijan,AZE,2005,1350981
Azerbaijan,AZE,2010,1050055
Azerbaijan,AZE,2015,860748
Azerbaijan,AZE,2020,790122
Azerbaijan,AZE,2024,810116
Bahamas,BHS,1990,2074
Bahamas,BHS,1995,2064
Bahamas,BHS,2000,2139
Bahamas,BHS,2005,1985
Bahamas,BHS,2010,1867
Bahamas,BHS,2015,1955
Bahamas,BHS,2020,2042
Bahamas,BHS,2024,2174
Bahrain,BHR,1990,11251
Bahrain,BHR,1995,21614
Bahrain,BHR,2000,32137
Bahrain,BHR,2005,36803
Bahrain,BHR,2010,42283
Bahrain,BHR,2015,45263
Bahrain,BHR,2020,45356
Bahrain,BHR,2024,57160
Bangladesh,BGD,1990,5076540
Bangladesh,BGD,1995,5266258
Bangladesh,BGD,2000,5287858
Bangladesh,BGD,2005,5198991
Bangladesh,BGD,2010,6221642
Bangladesh,BGD,2015,7883873
Bangladesh,BGD,2020,8085347
Bangladesh,BGD,2024,8706947
Barbados,BRB,1990,20659
Barbados,BRB,1995,20592
Barbados,BRB,2000,20249
Barbados,BRB,2005,20961
Barbados,BRB,2010,20844
Barbados,BRB,2015,20504
Barbados,BRB,2020,19564
Barbados,BRB,2024,19558
Belarus,BLR,1990,1768067
Belarus,BLR,1995,1680350
Belarus,BLR,2000,1599048
Belarus,BLR,2005,1462091
Belarus,BLR,2010,1310899
Belarus,BLR,2015,1079713
Belarus,BLR,2020,919469
Belarus,BLR,2024,790232
Belgium,BEL,1990,312709
Belgium,BEL,1995,305533
Belgium,BEL,2000,313188
Belgium,BEL,2005,374297
Belgium,BEL,2010,405732
Belgium,BEL,2015,438560
Belgium,BEL,2020,482561
Belgium,BEL,2024,521884
Belize,BLZ,1990,3528
Belize,BLZ,1995,3627
Belize,BLZ,2000,3849
Belize,BLZ,2005,4380
Belize,BLZ,2010,5247
Belize,BLZ,2015,5970
Belize,BLZ,2020,6694
Belize,BLZ,2024,7383
Benin,BEN,1990,226170
Benin,BEN,1995,265968
Benin,BEN,2000,321244
Benin,BEN,2005,496572
Benin,BEN,2010,533981
Benin,BEN,2015,628871
Benin,BEN,2020,678375
Benin,BEN,2024,726530
Bermuda,BMU,1990,433
Bermuda,BMU,1995,473
Bermuda,BMU,2000,537
Bermuda,BMU,2005,638
Bermuda,BMU,2010,748
Bermuda,BMU,2015,871
Bermuda,BMU,2020,1051
Bermuda,BMU,2024,1100
Bhutan,BTN,1990,27169
Bhutan,BTN,1995,117210
Bhutan,BTN,2000,119788
Bhutan,BTN,2005,117140
Bhutan,BTN,2010,88335
Bhutan,BTN,2015,47807
Bhutan,BTN,2020,52339
Bhutan,BTN,2024,66145
Bolivia,BOL,1990,199843
Bolivia,BOL,1995,236253
Bolivia,BOL,2000,281557
Bolivia,BOL,2005,456266
Bolivia,BOL,2010,648912
Bolivia,BOL,2015,646591
Bolivia,BOL,2020,744014
Bolivia,BOL,2024,783473
Bonaire Sint Eustatius and Saba,BES,1990,2852
Bonaire Sint Eustatius and Saba,BES,1995,2947
Bonaire Sint Eustatius and Saba,BES,2000,3052
Bonaire Sint Eustatius and Saba,BES,2005,3016
Bonaire Sint Eustatius and Saba,BES,2010,2883
Bonaire Sint Eustatius and Saba,BES,2015,3100
Bonaire Sint Eustatius and Saba,BES,2020,3524
