Entity,Code,Year,No data on legal status,Homosexuality is illegal,Homosexuality is legal
Africa,OWID_AFR,1760,51,3,0
Africa,OWID_AFR,1761,51,3,0
Africa,OWID_AFR,1762,51,3,0
Africa,OWID_AFR,1763,51,3,0
Africa,OWID_AFR,1764,51,3,0
Africa,OWID_AFR,1765,51,3,0
Africa,OWID_AFR,1766,51,3,0
Africa,OWID_AFR,1767,51,3,0
Africa,OWID_AFR,1768,51,3,0
Africa,OWID_AFR,1769,51,3,0
Africa,OWID_AFR,1770,51,3,0
Africa,OWID_AFR,1771,51,3,0
Africa,OWID_AFR,1772,51,3,0
Africa,OWID_AFR,1773,51,3,0
Africa,OWID_AFR,1774,51,3,0
Africa,OWID_AFR,1775,51,3,0
Africa,OWID_AFR,1776,51,3,0
Africa,OWID_AFR,1777,51,3,0
Africa,OWID_AFR,1778,51,3,0
Africa,OWID_AFR,1779,51,3,0
Africa,OWID_AFR,1780,51,3,0
Africa,OWID_AFR,1781,51,3,0
Africa,OWID_AFR,1782,51,3,0
Africa,OWID_AFR,1783,51,3,0
Africa,OWID_AFR,1784,51,3,0
Africa,OWID_AFR,1785,51,3,0
Africa,OWID_AFR,1786,51,3,0
Africa,OWID_AFR,1787,51,3,0
Africa,OWID_AFR,1788,51,3,0
Africa,OWID_AFR,1789,51,3,0
Africa,OWID_AFR,1790,51,3,0
Africa,OWID_AFR,1791,51,3,0
Africa,OWID_AFR,1792,51,3,0
Africa,OWID_AFR,1793,51,3,0
Africa,OWID_AFR,1794,51,3,0
Africa,OWID_AFR,1795,51,3,0
Africa,OWID_AFR,1796,51,3,0
Africa,OWID_AFR,1797,51,3,0
Africa,OWID_AFR,1798,51,3,0
Africa,OWID_AFR,1799,51,3,0
Africa,OWID_AFR,1800,51,3,0
Africa,OWID_AFR,1801,51,3,0
Africa,OWID_AFR,1802,51,3,0
Africa,OWID_AFR,1803,51,3,0
Africa,OWID_AFR,1804,51,3,0
Africa,OWID_AFR,1805,51,3,0
Africa,OWID_AFR,1806,51,3,0
Africa,OWID_AFR,1807,51,3,0
Africa,OWID_AFR,1808,51,3,0
Africa,OWID_AFR,1809,51,3,0
Africa,OWID_AFR,1810,51,3,0
Africa,OWID_AFR,1811,51,3,0
Africa,OWID_AFR,1812,51,3,0
Africa,OWID_AFR,1813,51,3,0
Africa,OWID_AFR,1814,51,3,0
Africa,OWID_AFR,1815,51,3,0
Africa,OWID_AFR,1816,51,3,0
Africa,OWID_AFR,1817,51,3,0
Africa,OWID_AFR,1818,51,3,0
Africa,OWID_AFR,1819,51,3,0
Africa,OWID_AFR,1820,51,3,0
Africa,OWID_AFR,1821,51,3,0
Africa,OWID_AFR,1822,51,3,0
Africa,OWID_AFR,1823,51,3,0
Africa,OWID_AFR,1824,51,3,0
Africa,OWID_AFR,1825,51,3,0
Africa,OWID_AFR,1826,51,3,0
Africa,OWID_AFR,1827,51,3,0
Africa,OWID_AFR,1828,51,3,0
Africa,OWID_AFR,1829,51,3,0
Africa,OWID_AFR,1830,51,3,0
Africa,OWID_AFR,1831,51,3,0
