Variable,Inhalt,Beschreibung
country,Geographic location.,
world_region,Broad geographic category,
year,Year of observation.,
population,"Population by country, available from 10,000 BCE to 2023, based on data and estimates from different sources.","Combination of different sources. We construct our long-run population data by combining multiple sources: 10,000 BCE–1799: historical estimates by HYDE (v3.3); 1800–1949: historical estimates by Gapminder (v7); 1950–2023: population records from the United Nations World Population Prospects (2024 revision). Geographical aggregates: For most years, we calculate aggregates by summing the population of member countries. We do this based on our definition of continents and the World Bank’s income groups. The only exception is before 1800, where we use HYDE's estimates for continents (but not income groups). For most of the years, we've estimated regional aggregates by summing the population of countries in each region. We've relied on our continents and World Bank income group definitions. The only exception is before 1800, where we've used HYDE's estimates on continents (but not income groups). World: Before 1800: we use data from HYDE; 1800-1950: we estimate the global population by summing all available countries in the dataset; After 1950, we rely on estimates from the United Nations World Population Prospects."
gdp,"GDP per capita, PPP (constant 2021 international $)","Average economic output per person in a country or region per year. This data is adjusted for inflation and differences in living costs between countries. GDP per capita is a comprehensive measure of people's average income. It helps compare income levels across countries and track how they change over time. It is especially useful for understanding trends in economic growth and living standards. GDP per capita is calculated as the value of all final goods and services produced each year in a country (the gross domestic product, divided by the population. It represents the average economic output per person."
genuine_savings,Genuine savings per capita,Genuine savings = net investment in fixed produced capital formation and overseas investment + change to natural capital + education expenditure. This data is measured in international-$ at 1990 prices to account for inflation and differences in living costs between countries.
headcount_ratio_international_povline,Poverty rate: >$1.90,% of population living in households with an income or expenditure per person below the International Poverty Line: $1.90 a day (in 2011 prices) or $2.15 a day (in 2017 prices).
headcount_ratio_upper_mid_income_povline,Poverty rate: >$5.50,% of population living in households with an income or expenditure per person below the upper-middle income poverty line: $5.50 a day (in 2011 prices) or $6.85 a day (in 2017 prices).
headcount_ratio_4000,Rate expenditure <40$,% of population living in households with an income or expenditure per person below $40 a day.
headcount_ratio_50_median,Expenditure <50% of median,% of population living in households with an income or expenditure per person below 50% of the median.
total_shortfall_international_povline,The total shortfall from the International Poverty Line: $1.90 a day (in 2011 prices) or $2.15 a day (in 2017 prices).,"This is the amount of money that would be theoretically needed to lift the incomes or expenditure of all people in poverty up to the poverty line. However this is not a measure of the actual cost of eliminating poverty, since it does not take into account the costs involved in making the necessary transfers nor any changes in behaviour they would bring about."
poverty_gap_index_international_povline,The poverty gap index calculated at the International Poverty Line: $1.90 a day (in 2011 prices) or $2.15 a day (in 2017 prices).,"The poverty gap index is a measure that reflects both the depth and prevalence of poverty. It is defined as the mean shortfall of the total population from the poverty line counting the non-poor as having zero shortfall and expressed as a percentage of the poverty line. 
It is worth unpacking that definition a little. For those below the poverty line, the shortfall corresponds to the amount of money required in order to reach the poverty line. For those at or above the poverty line, the shortfall is counted as zero. The average shortfall is then calculated across the total population ‚Äì both poor and non-poor ‚Äì and then expressed as a share of the poverty line.
Unlike the more commonly-used metric of the headcount ratio, the poverty gap index is thus sensitive not only to whether a person‚Äôs income falls below the poverty line or not, but also by how much, i.e. to the depth of poverty they experience."
mean_income,The mean level of income or expenditure per day.,
median_income,The level of income or expenditure per day below which half of the population live.,
gini,Gini coefficient for income,"The Gini coefficient measures inequality on a scale between 0 and 1, where higher values indicate greater inequality."
polarization_income,Degree of income polarization,"The polarization index, also known as the Wolfson polarization index, measures the extent to which the distribution of income or expenditure is ‚spread out and bi-modal. Like the Gini coefficient, the polarization index ranges from 0 (no polarization) to 1 (complete polarization). The polarization index is based on Wolfson (1994) and Ravallion and Chen (1997)."
s80_s20_ratio,The share of total income (or expenditure) of the top 20% divided by the share of the bottom 20%.,
living_streets_or_public_spaces,,"Population reported as experiencing homelessness at a single point in time per 100,000 people. The data is collected by counting the people living on the street or staying in shelters on one night of the year. Countries use different definitions and data collection methods and are harmonized to the extent possible. Data for the United Kingdom only considers England and is expressed in households. This data has been categorized within the European Typology of Homelessness and Housing Exclusion (ETHOS) typology is defined as people living rough, living in the streets or public spaces without a shelter that can be defined as living quarters.
        This data is collected with a _point-in-time count_, in which data are collected at a single point in time, generally through a coordinated street count or an enumeration of people staying in shelters for people experiencing homelessness on a given night. Point-in-time counts thus present a “snapshot” of homelessness at a single time and place.
        ""Countries use different definitions and data collection methods and are harmonized to the extent possible.
        ""Data for Australia, Canada, France, Germany, South Korea, Norway, and the United States includes people living in unconventional dwellings (e.g. tents)."
