"country","year","region","gdp_per_capita","life_expectancy_birth","child_mortality_rate"
"Algeria",2015,"Africa",15239.518,75.159,2.4929633
"Cameroon",2015,"Africa",4698.667,59.687,8.897002
"Egypt",2015,"Africa",13425.912,70.135,2.3254118
"Eswatini",2015,"Africa",9253.291,54.941,5.8634653
"Guinea",2015,"Africa",2869.8516,57.899,11.408692
"Sierra Leone",2015,"Africa",2630.535,55.454,13.761938
"South Africa",2015,"Africa",14559.475,64.053,3.8233285
"Tunisia",2015,"Africa",12802.761,74.875,1.8222096
"Armenia",2015,"Asia",13112.76,74.229,1.4648875
"Kyrgyzstan",2015,"Asia",5600.2144,69.309,2.2235677
"Mongolia",2015,"Asia",13974.597,69.239,1.9422
"Cyprus",2015,"Europe",37903.125,81.464,0.28910384
"Estonia",2015,"Europe",36729.81,77.665,0.31734586
"France",2015,"Europe",50682.895,82.149,0.4167797
"Portugal",2015,"Europe",35803.355,81.321,0.36277294
"Slovenia",2015,"Europe",38537.094,80.499,0.2626964
"Spain",2015,"Europe",43053.76,82.611,0.3310522
"Sweden",2015,"Europe",58975.977,82.184,0.28633878
"Mexico",2015,"North America",21408.928,74.431,1.6247327
"Peru",2015,"South America",14542.793,75.732,1.758419
